"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Покупка в интернет магазине","1 - Покупка iphone","0","1","0","0","0"
"","Покупка в интернет магазине","2 - Покупка беспроводных наушников","0","1","0","0","0"
